SampleName,E1,E2,E3,E4,E5,B1,B2,B3,Q1,Q2,Q3,V1,V2,V3,P1,P2,P3,P4,RAFT,E6,E7,E8,E9,E10,E11,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,V4,V5,V6,V7,V8,V9,P5,P6,P7,P9
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z01-r01,-0.285699,-0.047755,-0.166727,0.118972,8.405339071,0.116825356,2.49192725,1.74350555,0.89830355,1.39140689,0,0,0,0.92784009,0.92582119,0.926497037,-0.1569,0.5336,0.4003,0.4669,-0.1333,1.4932,0.0517,0.2108,0.2134,0.2121,0.0026,0.6782,30.9,21.6,14.5,45.7,27.8,16.2,16.23505985,37.07167719,8.646463482,3.195141153
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z02-r01,-0.303952,-0.059198,-0.181575,0.122377,8.171470129,0.134704563,2.50374371,1.6621109,1.67036728,1.38810248,0,0,0,0.92524529,0.92366276,0.924717323,-0.118,0.4934,0.3677,0.4306,-0.1257,1.3806,0.0585,0.1769,0.1891,0.183,0.0122,0.5869,33.8,27.1,18.9,49.4,33.7,20.5,17.18288245,37.71381759,8.824930203,4.592031388
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z03-r01,-0.311319,-0.045588,-0.1784535,0.1328655,7.526408285,0.119841688,2.48978034,1.61343419,1.75035126,1.39346141,0,0,0,0.92620433,0.92514744,0.925851487,-0.1391,0.3763,0.4071,0.3917,0.0308,1.1266,0.0547,0.3661,0.2062,0.2862,-0.16,0.823,32.2,24.5,16.2,47.5,30.7,17.8,16.22582791,38.29348567,8.680156605,3.483760474
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z04-r01,-0.315505,-0.096018,-0.2057615,0.1097435,9.112156984,0.192894317,2.29404881,1.57756687,1.33574324,1.38275585,3.26317184,3.26317184,3.26317184,0.92269306,0.9221838,0.922354893,-0.0826,0.4881,0.3441,0.4161,-0.144,1.4578,0.0887,0.1962,0.1825,0.1894,-0.0137,0.6635,33.8,26.9,19.1,48.8,33.2,20.9,17.03194127,37.62880586,8.811587633,4.542574449
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z05-r01,-0.278431,-0.058454,-0.1684425,0.1099885,9.091859604,0.128981102,2.27057722,1.53757554,1.2029445,1.38820987,1.41698925,0.79118931,1.204755353,0.92457125,0.81336262,0.895916453,-0.158,0.4575,0.281,0.3692,-0.1765,1.3567,0.0441,0.1513,0.1417,0.1465,-0.0096,0.5383,36.4,30.5,23.4,52,37.1,25.6,18.54263165,42.82755156,9.071582493,5.512133508
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z06-r01,-0.308665,-0.075665,-0.192165,0.1165,8.583690987,0.15848664,2.36290271,1.60919073,1.07720044,1.37791188,1.63938106,1.60550052,1.628087027,0.92328213,0.92123205,0.9219192,-0.1033,0.496,0.3707,0.4334,-0.1253,1.4346,0.0728,0.2035,0.2026,0.203,-0.0009,0.6721,36.7,30.9,22.3,51.8,37,24.1,16.5521149,39.70218252,8.821800947,4.810557914
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r01,-0.279083,-0.041568,-0.1603255,0.1187575,8.420520809,0.108221653,2.35217369,1.6020957,1.31954817,1.3910855,0.88028937,0.87258804,0.87651288,0.9257707,0.92411903,0.924701033,-0.1779,0.5126,0.3598,0.4362,-0.1528,1.4298,0.0392,0.1848,0.1898,0.1873,0.005,0.6139,33.9,26.8,18,49.1,33,19.6,16.43584079,39.19580575,8.797793639,4.311689973
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r02,-0.276977,-0.040119,-0.158548,0.118429,8.443877766,0.106128855,2.34682725,0.17425641,1.31894143,1.29722673,0.87977888,0.87098725,0.876505643,1.31616244,0.86130976,1.012947157,-0.1791,0.5078,0.357,0.4324,-0.1508,1.4358,0.0347,0.1739,0.1737,0.1738,-0.0003,0.5772,33.8,26.7,18.4,52.3,38.1,23.1,16.53024817,39.1409582,8.436040417,4.328860391
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r03,-0.285785,-0.048703,-0.167244,0.118541,8.435899815,0.117978402,2.38116032,1.54021966,1.32361115,1.34248083,0.88087121,0.86805447,0.87510325,1.43131338,0.85672956,1.049387263,-0.152,0.5005,0.3636,0.432,-0.1369,1.4388,0.0375,0.1684,0.1539,0.1612,-0.0144,0.5367,34.5,28.3,20.8,53.9,41.4,27.5,17.11400311,42.51213084,8.498590426,4.436023189
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r04,-0.299549,-0.059822,-0.1796855,0.1198635,8.342823295,0.134681863,2.30129091,0.15710011,1.31872926,1.30201224,0.87854479,0.86911871,0.87380686,1.12510451,0.83929625,0.93740118,-0.157,0.4853,0.3244,0.4049,-0.1609,1.3407,0.0717,0.1696,0.1736,0.1716,0.004,0.5682,36.7,30.7,22.3,52.9,40.4,26.6,17.31246646,43.47706654,8.666713303,4.437648959
